"","subject","item","value","measure","item_type","pict_order","adjective","adj_type","pict_position","noun"
"1","bt1","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"2","pbs","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"3","LM","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"4","HWB","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"5","5acb32595cd1050001627086","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"6","5aeabe40b02f280001759ea0","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"7","5aeace46854c9000018675a1","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"8","5ab9f5e37ccedb0001b7dd2d","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"9","5a0af79849add9000140d8dd","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"10","5aea9bf826b6680001697cd3","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"11","5a1dc8e45d06850001b012b6","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"12","58d4ebdec8677b0001a2107b","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"13","5aeafacdd84ebf0001ba9a2f","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"14","5afdcfb796a88e0001ff3fdc","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"15","5aead0fbf61e7d00013f97ec","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"16","5aecb47c75deca00016263a5","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"17","5ac29361e1099600016a6cdc","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"18","5af9a04dfdaeac00010d6549","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"19","5af4a2ba222e4d0001877809","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"20","591a1f4800a5650001276188","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"21","5aea9842ba2926000102f326","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"22","5a0677d5df3fa800015c355f","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"23","5aad4225811b2000016f6ed1","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"24","5aec798463d6e10001754fe7","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"25","5a8aef97eea3d300016e946b","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"26","5ae7522362c7f200018d6185","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"27","5af21c6a5847970001e34a6e","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"28","5af7e7dc25561e00013ae08b","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"29","582630568061bd0001327245","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"30","5aebb7138787840001f9e9c1","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"31","5acc5b84436f5500010033e7","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
